,precision,recall,f1_score,accuracy
ensemble,0.34,0.33,0.76,0.64
CTriad,0.27,0.39,0.66,0.55
Moran,0.3,0.42,0.69,0.58
DDE,0.29,0.4,0.68,0.57
KSCTriad,0.28,0.4,0.66,0.55
DPC,0.27,0.38,0.68,0.56
Geary,0.31,0.43,0.69,0.58
TPC,0.32,0.48,0.69,0.58
GTPC,0.3,0.4,0.69,0.58
CKSAAP,0.34,0.48,0.7,0.6
NMBroto,0.3,0.43,0.68,0.58
gaakmer,0.25,0.25,0.72,0.59
s_fpssm,0.33,0.43,0.72,0.61
CTDD,0.28,0.38,0.68,0.57
rpm_pssm,0.32,0.42,0.71,0.6
SOCNumber,0.27,0.37,0.67,0.56
ab_pssm,0.32,0.43,0.71,0.6
pssm_composition,0.32,0.41,0.71,0.6
